,tweets
0,"""@Blcktweet Let's help him out #VoteHimOut https://t.co/ewmeCDSszF"""
1,"""💥Trump is posting attack ads against Biden while Fox demands a two week pause of Biden ads‼️\n\n💥KEEP RESISTING‼️\n\n💥 Trump ads are still running attacking Joe Biden‼️\n\n💥Let’s get out the vote‼️\n\n#Dems4USA #Resist #Resistance #VoteHimOut"""
2,"""tRump did not renounce white supremacist groups.\n#trumpisracist"""
3,"""The past 24hrs added with almost 4 yrs is summed up to Terrible Leadership!!😠 We are fed up with it and are more than ready for a sea change!! This shit has to stop! #TrumpHasCovid. #VoteHimOut. #VoteBlueToEndThisNightmare"""
4,"""\"""
5,"""@CLewandowski_ It is. It stands for anti fascism. You see when you put the two words together it says Antifa. When you say you are against them it means you are Pro Fascism. So Corey are you the racist pro fascist party?\n We know trump is racist, are you?\n\n#TrumpIsRacist #GOPProFacistParty https://t.co/mWL4Tm0zxH"""
6,"""We need a person of color to moderate the debates. Trump’s insane jibberish to sidestep a direct question about white supremacy shouldn't have just been left on the table like that. \n#Trumpisracist #TrumpSupportsRacism #NewModeratorPlease"""
7,"""It’s the spookiest season yet! \n\n#VoteHimOut #VOTE https://t.co/G3FX9JzxsL"""
8,"""Trump refuses to denounce white supremacy, says \"""
9,"""If anything could come out of the debate tonight, it’s this. Trump refused to condemn white supremacy. Super powerful piece by Van Jones, a must watch!!#PresidentialDebate #Debate2020 #Debatenight #debate #debatemayhem #vanjones https://t.co/HpF3ijdx17"""
10,"""Every time I think we’ve reached the bottom, the President manages to descend even lower. #TrumpCovid #VoteHimOut #VoteBlue2020"""
11,"""President Trump was given a chance during the first presidential debate to denounce white supremacists and militias.\n\nInstead, he deflected. https://t.co/VkJNw3bBVq #Debates2020"""
12,"""@realDonaldTrump @FLOTUS is this just a scam so you can say Covid is not even as bad as a flu &amp; you’re phenomenally healthy, take off your masks everyone... just an excuse to avoid the debates because, ouch, every time you talk now, you loose more votes, except from the white nationalists. #Votehimout"""
13,"""@JacobHeilbrunn @realDonaldTrump NO WAY!! He got infected because of his reckless disregard for public health. He needs to go! #VoteHimOut"""
14,"""A fucking disgrace."""
15,"""@balleralert “Stand by”??? This white supremacist is literally holding “his troops” back and claiming them as his own!!! #Trumpisracist       #Debates2020"""
16,"""Unreal!!#TrumpThreatensAmerica #TrumpIsATraitor #Trumpisracist"""
17,"""@joncoopertweets Not at all...#VoteHimOut https://t.co/nhXIfhjABT"""
18,"""He got the question three times. Would he condemn white supremacists. Nope.\n\nIndulge me a little scripture:\n\"""
19,"""I mean...The President of The United States told the Proud Boys--a white supremacist group--to \"""
20,"""@trumpharmsusall Isn’t it already our ~the scary left~fault &amp; joe’s? #fucktrump #VoteHimOut #VoteBlueToSaveAmerica https://t.co/fq2sR00qBv"""
21,"""President Trump’s a fighter!"""
22,"""It's pretty simple, Dickstain Donald is a rampant fucking racist. If you support him then chances are you too are a racist. #Trumpisracist"""
23,"""I won the debate big, based on compilation of polls etc. Thank you!"""
24,"""Honest question. How can anybody who is a race other than White, support and vote for Donald Trump? He had an opportunity to denounce white supremacy during the debate and he flat out would not. #TrumpIsRacist"""
25,"""@CAgovernor I cannot what!  #VoteHimOut"""
26,"""@TruthsOverTrump @realDonaldTrump @JoeBiden The only hoax is the imposter in the WH thinking he is a real president.  \n#VoteHimOut \n#Biden2020"""
27,"""@gguksiren Trump was endorsed by the KKK\n\n#TrumpIsRacist https://t.co/CP1YTImdJq"""
28,"""BREAKING: McConnell will move to halt Senate floor activity until Oct. 19, but will permit Judiciary Committee’s SCOTUS hearings to continue.\n\nSo...the Senate WON’T work to pass relief for Americans during the Coronavirus pandemic, but will continue to steal another SCOTUS seat."""
