,tweets
0,"""So after Biden wins, what do we do with the cult?"""
1,"""@GOPLeader @GoJackFlynn Please. \nJust #RemovePelosi now.\nShe is constantly lying.\nShe is an embarrassment to the whole country.\nShe encourages violence against #TrumpSupporters.\nShe is unfit for any office, and is definitely not fit to be Speaker of the House.\nThanking you in advance..."""
2,"""@Jeromep81422970 @stillgray And I thought #TrumpSupporters were the bots? #Trump2020 https://t.co/r5vGQV0UOb"""
3,"""Seeing a lot of #TrumpSupporters taking their MAGA hats off after last night’s debate. This is America."""
4,"""The bigger question is, why are hundreds of people being bused into his rallies???"""
5,"""@Dknight10k #TrumpSupporters won't back Pence. He is too tame and not racist enough for them.\n\nPlus, he's scared of women. Trump just rapes them."""
6,"""@realDonaldTrump No weapon formed against us shall prosper! Democrats wish they could stop #MAGA...but they can't. Godspeed."""
7,"""#TrumpSupporters when you tell them anything bad about Trump 😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/01TlO2PJeu"""
8,"""How does someone run on crushing Unions, ending Social Security and Medicare, and destroying the Post Office still have support?"""
9,"""Just five days after he stepped down from his posts at Liberty University amid scandal, Jerry Falwell Jr.’s wife called police to report that he was intoxicated and bleeding in their Virginia home. #Trumpsupporters #Evangelicals #Trumptoaddy https://t.co/13JmEuwuh5"""
10,"""Where’s the lie... y’all quiet as hell 🙊🙊🙊🙊🙊🙊 #TrumpSupporters Make sure y’all #Vote #Vote2020 https://t.co/vCf4CtBQww"""
11,"""A woman who was arrested and charged with attempted murder after driving through a crowd of #TrumpSupporters in #California has been identified as an event organizer. https://t.co/0deS48Cjis"""
12,"""🚨🚨ATTENTION #MAGAMorons!🚨🚨\n\nThe #PatheticAntiMilitaryPutinInstalledLyingRacistCovidiot @POTUS, AKA @realDonaldTrump, @TeamTrump, the @GOP &amp; @GOPChairwoman ALL Think #TrumpSupporters Are TOO DISGUSTING To Even Shake Hands With.\n\n#TrumpHatesHisSupporters\nhttps://t.co/BwPtAUkuP5 https://t.co/fJlb9WBydF"""
13,"""@PathForFreedom @realDonaldTrump Know you have a qualified US Army veteran ready to contribute experience and continued service to promote freedom and protect our our sacred constitution in the AZ CD 2 race in Brandon Martin! Help AZ promote a winner! God bless you! #MartinForFreedom #MAGA #2A"""
14,"""President @realDonaldTrump saw the scenes of his supporters outside Walter Reed Medical Center. He decided to send out Presidential Chocolates to thank them.\n\nWe love you Mr. President!\n\nPraying for the Ultimate Physician to grant you and the First Lady complete healing.\n\n#MAGA https://t.co/WDUT4oUOE2"""
15,"""Donald Trump’s Latest Coronavirus Comment Slammed As ‘So Cruel And Cynical’ https://t.co/90fETEJ0DE Hey #TrumpSupporters did YOU know your #DisgustingPeople HAHA Keep Supporting the #Moron #DumpTrumpDayNov3 #NotMYPresident #TrumpLiesAmericansDie #Trump #RepublicansForBiden"""
16,"""@RepMaxineWaters @realDonaldTrump been fighting with #DirtyDemocrats since elected! Inciting violence 2 #TrumpSupporters, racial division, condoning riots, burning businesses, supp #BLM, inciting hate/violence 2ward police officers, etc. #Republicans DO NOT BACK DOWN! https://t.co/KdhfEK3m2E"""
17,""".@DanCrenshawTX \"""
18,"""#72hours? so @realDonaldTrump came to #NewJersey to engage with &amp; infect #TrumpSupporters and @TrumpBedminster staff at a fundraiser after he was diagnosed?\n\n#Trump doesn't care about anyone, #America.\n\ncc: @PressSec @WhiteHouse @TeamTrump @NJGov"""
19,"""The MAGA faithful is with our President! 🇺🇸❤️ https://t.co/fZ0JpRr6xe"""
20,"""#TrumpSupporters:\n\nThe late Rep. #JohnLewis (D-GA) told us to vote.\n\nSo...come Trump and Confederate flags, open carry, and screaming Karens at the polls, we will vote.  #VoterIntimidation isn't going to work.\n\nDempsey\n\nP.S.  Liberals look for #GoodTrouble. https://t.co/ts1heHhjBO"""
21,"""If Nancy Pelosi tries to impeach President Trump for appointing a Supreme Court Justice—as the Constitution requires him to do—we will take steps to remove her as Speaker. https://t.co/NIJMgcBbii"""
22,"""The start of another long work week. I hope all you #TrumpSupporters have a great day! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🌵😎"""
23,"""#BreakingNews \n\nRepublicans found to have deformed DNA!\n\n#TrumpSupporters:\n*Deny #Science - Accept imaginary beings\n*Racist &amp; Sexist Tendencies #Charlottesville \n*Willingness to sell out US #RussianRepublicans\n*#Hypocrites #RBG \n*Anti-#Environment\n\nSolution: Drop From VOTER ROLLS https://t.co/K2lHWMRoqQ"""
24,"""i’m so hurt 😢 they just look stupider each time they say something  #TrumpSupporters https://t.co/Hk8U4U6G2j"""
25,"""We stand TOGETHER for this FIGHT.\n\nW......!!!\n\n✔️  R  &amp;  . \n\n#MAGA #MIGA\n#PlanB"""
26,"""@marklevinshow #MAGA+A 😂😂ENDLESS🤣BULL☠️SHIT😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂SAME👌🏻TIRED👌🏻OLD👌🏻RANTING🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂your life is NOW and FOREVER a joke...🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂😂🤣😂🤣😂🤣😂🤣😂🤣😂DESPERATE☠️IDIOT☠️LOSER☠️🇺🇸☠️ https://t.co/SCwcP9ZkPs"""
27,"""@realDonaldTrump #maga #trump #kag #donaldtrump #conservative #republican #usa #makeamericagreatagain #wwg #qanon #wga #america #keepamericagreat #trumptrain #draintheswamp #politics #a #americafirst #walkaway #freedom #thegreatawakening #buildthewall #q  #trumpsupporters #bhfyp"""
28,"""Please read me correctly- I don’t want him to die - I just do not care if he is dead or alive. I want Biden as President and I want this bulllshit #MAGA movement to be smashed. His illness doesn’t change that we need to be on attack until Biden is sworn in. And then some. VOTE"""
29,"""#TrumpTaxReturns #Ohio #TrumpSupporters  What do you think of your so called President now ?  Still don't think he is not a fraud ?"""
30,"""Why is it assumed the president got the virus while campaigning or doing something irresponsible? He could have gotten it while doing his job at the White House and despite the very tight protections in place there. The media narrative is based on no facts whatsoever."""
31,"""#TrumpSupporters  are the type of mfs to tell Puerto Ricans to go back to their country."""
32,"""I’m with @realDonaldTrump #MAGA https://t.co/VgfvdDQBX5"""
33,"""Trump cannot denounce his base? #TrumpSupremacistInChief #TrumpsAmeriKKKa #TrumpSupporters https://t.co/kUd98BfkQN"""
34,"""I'll pray for all the #healthcareworkers (and their families) who died and are still dying because\n#TrumpLiesAmericansDie \nI'll pray for all the healthcare workers who will die because of #TrumpSuperSpreaders"""
35,"""I feel so blessed to live in this great country. #maga https://t.co/QESuFpEQpu"""
36,"""Praying for the swift recovery of my father and Melania and for all those impacted by COVID-19.\n\nAs they fight this together, the President will continue to fight for the people of this great country."""
37,"""Mr President are you alright sometimes people’s get creative with the things you had said in the past for example take a look at this #45potus how is the treatment is going #MAGA https://t.co/nm9D6HTpKx"""
38,"""How many trump supporters do I have to fucking report from that one tweet I did yesterday I mean literally, how many???? #TrumpSupporters #Russiabot #TrumpCovid https://t.co/2V8kVuSiFJ"""
