,tweets
0,"""So after Biden wins, what do we do with the cult?"""
1,"""@GOPLeader @GoJackFlynn Please. \nJust #RemovePelosi now.\nShe is constantly lying.\nShe is an embarrassment to the whole country.\nShe encourages violence against #TrumpSupporters.\nShe is unfit for any office, and is definitely not fit to be Speaker of the House.\nThanking you in advance..."""
2,"""@Jeromep81422970 @stillgray And I thought #TrumpSupporters were the bots? #Trump2020 https://t.co/r5vGQV0UOb"""
3,"""Seeing a lot of #TrumpSupporters taking their MAGA hats off after last night’s debate. This is America."""
4,"""The bigger question is, why are hundreds of people being bused into his rallies???"""
5,"""@Dknight10k #TrumpSupporters won't back Pence. He is too tame and not racist enough for them.\n\nPlus, he's scared of women. Trump just rapes them."""
6,"""@realDonaldTrump No weapon formed against us shall prosper! Democrats wish they could stop #MAGA...but they can't. Godspeed."""
7,"""@chicagosmayor Damn right! #VOTETRUMP2020 #DRAINTHESWAMP https://t.co/XirOBq7zv5"""
8,"""#TrumpSupporters when you tell them anything bad about Trump 😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/01TlO2PJeu"""
9,"""How does someone run on crushing Unions, ending Social Security and Medicare, and destroying the Post Office still have support?"""
10,"""Support President Trump’s wall? Our #BuildTheWall mug is a real conversation starter! Click the link to get yours today: https://t.co/PyLeEXWtYx"""
11,"""Just five days after he stepped down from his posts at Liberty University amid scandal, Jerry Falwell Jr.’s wife called police to report that he was intoxicated and bleeding in their Virginia home. #Trumpsupporters #Evangelicals #Trumptoaddy https://t.co/13JmEuwuh5"""
12,"""Where’s the lie... y’all quiet as hell 🙊🙊🙊🙊🙊🙊 #TrumpSupporters Make sure y’all #Vote #Vote2020 https://t.co/vCf4CtBQww"""
13,"""A woman who was arrested and charged with attempted murder after driving through a crowd of #TrumpSupporters in #California has been identified as an event organizer. https://t.co/0deS48Cjis"""
14,"""....#1KatesProsperity NATIONAL is strong &amp; will soon #MakeAmericaGreatAgain!"""
15,"""Are there any other Presidents or Prime Ministers of major countries and nations reporting that their chief officials are still contracting a known air borne virus?? No? Just America....wow! #makeamericagreatagain"""
16,"""🚨🚨ATTENTION #MAGAMorons!🚨🚨\n\nThe #PatheticAntiMilitaryPutinInstalledLyingRacistCovidiot @POTUS, AKA @realDonaldTrump, @TeamTrump, the @GOP &amp; @GOPChairwoman ALL Think #TrumpSupporters Are TOO DISGUSTING To Even Shake Hands With.\n\n#TrumpHatesHisSupporters\nhttps://t.co/BwPtAUkuP5 https://t.co/fJlb9WBydF"""
17,"""#BuildtheWall  get your Trump 2020 Car Air Freshener @ Amazon  https://t.co/7wiiWt2n0q https://t.co/IUFp55PQJR"""
18,"""and your welcome. https://t.co/1mr7ESiLMB"""
19,"""In other words, they’re illegally making the ILLEGAL ALIENS eligible to receive LEGAL citizen’s tax money. #SendThemBack #BuildTheWall"""
20,"""She should be ashamed of herself!"""
21,"""why not?  I can quite do it!  where to get the bulletin? 🇷🇺🇷🇺🇷🇺 #VOTE #MakeAmericaGreatAgain https://t.co/Xsrb9OxDCz"""
22,"""I’m worried some deep state sinister shit is about to go down"""
23,"""@PathForFreedom @realDonaldTrump Know you have a qualified US Army veteran ready to contribute experience and continued service to promote freedom and protect our our sacred constitution in the AZ CD 2 race in Brandon Martin! Help AZ promote a winner! God bless you! #MartinForFreedom #MAGA #2A"""
24,"""President @realDonaldTrump saw the scenes of his supporters outside Walter Reed Medical Center. He decided to send out Presidential Chocolates to thank them.\n\nWe love you Mr. President!\n\nPraying for the Ultimate Physician to grant you and the First Lady complete healing.\n\n#MAGA https://t.co/WDUT4oUOE2"""
25,"""Donald Trump’s Latest Coronavirus Comment Slammed As ‘So Cruel And Cynical’ https://t.co/90fETEJ0DE Hey #TrumpSupporters did YOU know your #DisgustingPeople HAHA Keep Supporting the #Moron #DumpTrumpDayNov3 #NotMYPresident #TrumpLiesAmericansDie #Trump #RepublicansForBiden"""
26,"""@RepMaxineWaters @realDonaldTrump been fighting with #DirtyDemocrats since elected! Inciting violence 2 #TrumpSupporters, racial division, condoning riots, burning businesses, supp #BLM, inciting hate/violence 2ward police officers, etc. #Republicans DO NOT BACK DOWN! https://t.co/KdhfEK3m2E"""
29,"""#72hours? so @realDonaldTrump came to #NewJersey to engage with &amp; infect #TrumpSupporters and @TrumpBedminster staff at a fundraiser after he was diagnosed?\n\n#Trump doesn't care about anyone, #America.\n\ncc: @PressSec @WhiteHouse @TeamTrump @NJGov"""
30,"""The MAGA faithful is with our President! 🇺🇸❤️ https://t.co/fZ0JpRr6xe"""
31,"""#TrumpSupporters:\n\nThe late Rep. #JohnLewis (D-GA) told us to vote.\n\nSo...come Trump and Confederate flags, open carry, and screaming Karens at the polls, we will vote.  #VoterIntimidation isn't going to work.\n\nDempsey\n\nP.S.  Liberals look for #GoodTrouble. https://t.co/ts1heHhjBO"""
32,"""And all we keep hearing from the left and MSM is \"""
33,"""If Nancy Pelosi tries to impeach President Trump for appointing a Supreme Court Justice—as the Constitution requires him to do—we will take steps to remove her as Speaker. https://t.co/NIJMgcBbii"""
34,"""#VoteTrump2020ToSaveAmerica #MakeAmericaGreatAgain #AmericanFreedomForRepublican Mr President @realDonaldTrump my hopes prayers for you and your wife you may God bless for United States of America🇺🇸 ✝✡❤🐘🙏🏻 https://t.co/18Qr3NmK2H"""
35,"""The start of another long work week. I hope all you #TrumpSupporters have a great day! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🌵😎"""
36,"""BREAKING: The Governor just announced gas powered cars will be banned in California by the year 2035.\n\nUhaul trucks are about to be very hard to come by."""
37,"""#BreakingNews \n\nRepublicans found to have deformed DNA!\n\n#TrumpSupporters:\n*Deny #Science - Accept imaginary beings\n*Racist &amp; Sexist Tendencies #Charlottesville \n*Willingness to sell out US #RussianRepublicans\n*#Hypocrites #RBG \n*Anti-#Environment\n\nSolution: Drop From VOTER ROLLS https://t.co/K2lHWMRoqQ"""
38,"""i’m so hurt 😢 they just look stupider each time they say something  #TrumpSupporters https://t.co/Hk8U4U6G2j"""
39,"""@realDonaldTrump Naughty naughty sleepy joe! You got caught cheating! #DrainTheSwamp #Trump2020LandslideVictory https://t.co/O157H5rVRb"""
40,"""We stand TOGETHER for this FIGHT.\n\nW......!!!\n\n✔️  R  &amp;  . \n\n#MAGA #MIGA\n#PlanB"""
41,"""Team-GO TRUMP! #MakeAmericaGreatAgain https://t.co/xmCVaYw0Ft Honored to their colours with Homin and whiff the poghue like"""
42,"""@KAG2020 #MAGA2020 #TrumpTrain\n@JpcollinsH\n@Adell43600342\n@elmarie_west\n@theplains6\n@atvguy\n@Nina888881\n@BanfordBilly\n@EddyOsullivan3 \nKnow Your Enemy https://t.co/KHfJG4VLNJ"""
43,"""Good luck to my fav non-Roma accnts:\n\n-@Murxelago #BuildTheWall \n-@ConteIsBald Pray your village water is poisoned\n-@SiNuTrmon Your selfies are all the same\n-@drusso2235  @Napolitando Your owner is a rat\n-@TonyMellace7 You're really from Albania\n-@IcardisSidePart Mexican PSG fan"""
