,tweets,
0,"""So after Biden wins, what do we do with the cult?""",0
1,"""@GOPLeader @GoJackFlynn Please. \nJust #RemovePelosi now.\nShe is constantly lying.\nShe is an embarrassment to the whole country.\nShe encourages violence against #TrumpSupporters.\nShe is unfit for any office, and is definitely not fit to be Speaker of the House.\nThanking you in advance...""",1
2,"""@Jeromep81422970 @stillgray And I thought #TrumpSupporters were the bots? #Trump2020 https://t.co/r5vGQV0UOb""",0
3,"""Seeing a lot of #TrumpSupporters taking their MAGA hats off after last night’s debate. This is America.""",0
4,"""The bigger question is, why are hundreds of people being bused into his rallies???""",0
5,"""@Dknight10k #TrumpSupporters won't back Pence. He is too tame and not racist enough for them.\n\nPlus, he's scared of women. Trump just rapes them.""",0
6,"""@realDonaldTrump No weapon formed against us shall prosper! Democrats wish they could stop #MAGA...but they can't. Godspeed.""",1
7,"""@chicagosmayor Damn right! #VOTETRUMP2020 #DRAINTHESWAMP https://t.co/XirOBq7zv5""",1
8,"""#TrumpSupporters when you tell them anything bad about Trump 😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/01TlO2PJeu""",0
9,"""How does someone run on crushing Unions, ending Social Security and Medicare, and destroying the Post Office still have support?""",0
10,"""Support President Trump’s wall? Our #BuildTheWall mug is a real conversation starter! Click the link to get yours today: https://t.co/PyLeEXWtYx""",1
11,"""Just five days after he stepped down from his posts at Liberty University amid scandal, Jerry Falwell Jr.’s wife called police to report that he was intoxicated and bleeding in their Virginia home. #Trumpsupporters #Evangelicals #Trumptoaddy https://t.co/13JmEuwuh5""",0
12,"""Where’s the lie... y’all quiet as hell 🙊🙊🙊🙊🙊🙊 #TrumpSupporters Make sure y’all #Vote #Vote2020 https://t.co/vCf4CtBQww""",0
13,"""A woman who was arrested and charged with attempted murder after driving through a crowd of #TrumpSupporters in #California has been identified as an event organizer. https://t.co/0deS48Cjis""",0
14,"""....#1KatesProsperity NATIONAL is strong &amp; will soon #MakeAmericaGreatAgain!""",1
15,"""Are there any other Presidents or Prime Ministers of major countries and nations reporting that their chief officials are still contracting a known air borne virus?? No? Just America....wow! #makeamericagreatagain""",0
16,"""🚨🚨ATTENTION #MAGAMorons!🚨🚨\n\nThe #PatheticAntiMilitaryPutinInstalledLyingRacistCovidiot @POTUS, AKA @realDonaldTrump, @TeamTrump, the @GOP &amp; @GOPChairwoman ALL Think #TrumpSupporters Are TOO DISGUSTING To Even Shake Hands With.\n\n#TrumpHatesHisSupporters\nhttps://t.co/BwPtAUkuP5 https://t.co/fJlb9WBydF""",0
17,"""#BuildtheWall  get your Trump 2020 Car Air Freshener @ Amazon  https://t.co/7wiiWt2n0q https://t.co/IUFp55PQJR""",1
18,"""and your welcome. https://t.co/1mr7ESiLMB""",2
19,"""In other words, they’re illegally making the ILLEGAL ALIENS eligible to receive LEGAL citizen’s tax money. #SendThemBack #BuildTheWall""",1
20,"""She should be ashamed of herself!""",2
21,"""why not?  I can quite do it!  where to get the bulletin? 🇷🇺🇷🇺🇷🇺 #VOTE #MakeAmericaGreatAgain https://t.co/Xsrb9OxDCz""",1
22,"""I’m worried some deep state sinister shit is about to go down""",0
23,"""@PathForFreedom @realDonaldTrump Know you have a qualified US Army veteran ready to contribute experience and continued service to promote freedom and protect our our sacred constitution in the AZ CD 2 race in Brandon Martin! Help AZ promote a winner! God bless you! #MartinForFreedom #MAGA #2A""",1
24,"""President @realDonaldTrump saw the scenes of his supporters outside Walter Reed Medical Center. He decided to send out Presidential Chocolates to thank them.\n\nWe love you Mr. President!\n\nPraying for the Ultimate Physician to grant you and the First Lady complete healing.\n\n#MAGA https://t.co/WDUT4oUOE2""",1
